id,original_title,title,original_language,overview,tagline,release_date,poster_path,vote_count,vote_average,budget,revenue,runtime,backdrop_path,genre_names,collection,collection_name,profit,release_year,release_month,release_day,other_genres
11361,Halloween 5: The Revenge of Michael Myers,Halloween 5: The Revenge of Michael Myers,en,"Presumed dead after a shoot-out with the Haddonfield police, Michael Myers is secretly nursed back to health -- and returns a year later to kill again and once more targets his young niece, Jamie. Jamie is now recovering in the local children's hospital after attacking her stepmother and losing her voice. Her mental link with her evil uncle may be the key to uprooting her family tree.","Michael Lives, And This Time They're Ready!",1989-10-12,/q5UJwGFACxd9QGzUljRWq1HCM6J.jpg,927,5.4,3000000,11642254,97,/ynpPgJrdHmEbFICkfPlHwQiPo04.jpg,"['Horror', 'Thriller']",91361.0,Halloween Collection,8642254,1989,10,12,['Thriller']
10987,Halloween: The Curse of Michael Myers,Halloween: The Curse of Michael Myers,en,"Six years ago, Michael Myers terrorized the town of Haddonfield, Illinois. He and his niece, Jamie Lloyd, have disappeared. Jamie was kidnapped by a bunch of evil druids who protect Michael Myers. And now, six years later, Jamie has escaped after giving birth to Michael's child. She runs to Haddonfield to get Dr. Loomis to help her again.",Terror Never Rests in Peace,1995-09-29,/lepPd0SRf4CEEYzuoUsyFA1egHE.jpg,840,5.2,5000000,15116634,88,/8xLsFPeMC2AjPiJPZlQeBKiTIqE.jpg,"['Horror', 'Thriller']",91361.0,Halloween Collection,10116634,1995,9,29,['Thriller']
11675,Halloween H20: 20 Years Later,Halloween H20: 20 Years Later,en,"Two decades after surviving a massacre on October 31, 1978, former baby sitter Laurie Strode finds herself hunted by persistent knife-wielder Michael Myers. Laurie now lives in Northern California under an assumed name, where she works as the headmistress of a private school. But it's not far enough to escape Myers, who soon discovers her whereabouts. As Halloween descends upon Laurie's peaceful community, a feeling of dread weighs upon her -- with good reason.",Blood is thicker than Water.,1998-08-05,/dh0Ni6zJRb0Nq8cIeHJYK33gMbY.jpg,1302,6.0,17000000,75000000,86,/vYjsyyzbU2AAB8LDFrXlla93bv6.jpg,"['Horror', 'Thriller']",91361.0,Halloween Collection,58000000,1998,8,5,['Thriller']
11442,Halloween: Resurrection,Halloween: Resurrection,en,"Serial Killer Michael Myers is not finished with Laurie Strode, and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality programmers at DangerTainment, and are planning to send a group of 6 thrill-seeking teenagers into the childhood home of Myers. Cameras are placed all over the house and no one can get out of the house... and then Michael arrives home!",Evil finds its way home,2002-07-01,/2h7d3pDg0cRYw62kiTzeBfbXPgX.jpg,1000,4.7,13000000,37664855,89,/jnSB3v76tGte9lzHS1XLGu75oaT.jpg,"['Horror', 'Thriller']",91361.0,Halloween Collection,24664855,2002,7,1,['Thriller']
424139,Halloween,Halloween,en,"Jamie Lee Curtis returns to her iconic role as Laurie Strode, who comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",Face Your Fate.,2018-10-18,/f7JAX5EGk4GgsEnus6OxyzwpFp7.jpg,3974,6.5,10000000,253688035,106,/crn09DUYgmFUPbOroxt1tQSoi0r.jpg,"['Horror', 'Thriller']",91361.0,Halloween Collection,243688035,2018,10,18,['Thriller']
610253,Halloween Kills,Halloween Kills,en,"The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.",Evil dies tonight.,2021-10-14,/qmJGd5IfURq8iPQ9KF3les47vFS.jpg,1941,6.7,20000000,131647155,105,/5P0PtxIneLNMq7m0crF1R9Sjzpv.jpg,"['Horror', 'Thriller']",91361.0,Halloween Collection,111647155,2021,10,14,['Thriller']
440021,Happy Death Day,Happy Death Day,en,"Caught in a bizarre and terrifying time warp, college student Tree finds herself repeatedly reliving the day of her murder, ultimately realizing that she must identify the killer and the reason for her death before her chances of survival run out.",Get up. Live your day. Get killed. Again.,2017-10-12,/cTaEIUYTt52ooq9quVbAQ7NpGwo.jpg,5369,6.6,4800000,125479266,97,/9XSEL3EMC2D8k4UcYBn8etgRxPg.jpg,"['Comedy', 'Horror', 'Mystery']",526380.0,Happy Death Day Collection,120679266,2017,10,12,"['Comedy', 'Mystery']"
512196,Happy Death Day 2U,Happy Death Day 2U,en,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone.",Death makes a killer comeback.,2019-02-13,/4tdnePOkOOzwuGPEOAHp8UA4vqx.jpg,2876,6.3,9000000,25327500,100,/lVs3Zb0qytKr80s2gbnb99Szsqn.jpg,"['Comedy', 'Horror', 'Science Fiction']",526380.0,Happy Death Day Collection,16327500,2019,2,13,"['Comedy', 'Science Fiction']"
11908,Hatchet,Hatchet,en,"When a group of tourists on a New Orleans haunted swamp tour find themselves stranded in the wilderness, their evening of fun and spooks turns into a horrific nightmare.",Stay out of the swamp!,2006-04-27,/xRWRUZchxjttsNkGVZD2zGpihbJ.jpg,521,5.8,1500000,208550,84,/vr86BT7sFQqD6NJYdh6uUSrEL9g.jpg,"['Comedy', 'Horror']",124901.0,Hatchet Collection,-1291450,2006,4,27,['Comedy']
43919,Hatchet II,Hatchet II,en,"Picking up right where the original ended, Marybeth escapes the clutches of the swamp-dwelling killer Victor Crowley. After learning the truth about her family’s connection to the hatchet-wielding madman, Marybeth returns to the Louisiana swamps along with an army of hunters to recover the bodies of her family and exact the bloodiest revenge against the bayou butcher.",Victor Crowley Lives.,2010-08-26,/a8Hh6DIOjPE73Hw5ZihDr3k1JDw.jpg,309,5.5,2500000,156190,85,/sh9aRWXveSCeY2TDgNv3UzXAUb9.jpg,"['Comedy', 'Horror', 'Thriller']",124901.0,Hatchet Collection,-2343810,2010,8,26,"['Comedy', 'Thriller']"
