id,original_title,title,original_language,overview,tagline,release_date,poster_path,vote_count,vote_average,budget,revenue,runtime,backdrop_path,genre_names,collection,collection_name,profit,release_year,release_month,release_day,other_genres
158015,The Purge,The Purge,en,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.","One night a year, all crime is legal.",2013-05-31,/x6hwbnR2nGacSzljqYaXY25w1Me.jpg,7386,6.3,3000000,89328627,86,/9J3HHP3kQ5ZStyirJyWPWtvvrHY.jpg,"['Horror', 'Science Fiction', 'Thriller']",256322.0,The Purge Collection,86328627,2013,5,31,"['Science Fiction', 'Thriller']"
238636,The Purge: Anarchy,The Purge: Anarchy,en,"One night per year, the government sanctions a 12-hour period in which citizens can commit any crime they wish -- including murder -- without fear of punishment or imprisonment. Leo, a sergeant who lost his son, plans a vigilante mission of revenge during the mayhem. However, instead of a death-dealing avenger, he becomes the unexpected protector of four innocent strangers who desperately need his help if they are to survive the night.",Welcome to America where one night a year all crime is legal,2014-07-17,/f2HD5iVhJWWv72QVWThUKk09zYy.jpg,5695,6.7,9000000,111928365,104,/blfZnm6StMPnTY35kaooPBCsSVp.jpg,"['Horror', 'Thriller']",256322.0,The Purge Collection,102928365,2014,7,17,['Thriller']
316727,The Purge: Election Year,The Purge: Election Year,en,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",Keep America great,2016-06-29,/ubLbY97m8lYJ3Fykh7nfiwB5eth.jpg,4614,6.4,10000000,118587880,105,/a7V3ZXCDAk3P7GjpgfN0IInjh0r.jpg,"['Action', 'Horror', 'Thriller']",256322.0,The Purge Collection,108587880,2016,6,29,"['Action', 'Thriller']"
442249,The First Purge,The First Purge,en,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",A Nation Reborn,2018-07-04,/litjsBoiydO6JlO70uOX4N3WnNL.jpg,3413,6.0,13000000,137056262,97,/1hJbE72WiRuWH11QPNiHsvt29xA.jpg,"['Action', 'Horror', 'Thriller']",256322.0,The Purge Collection,124056262,2018,7,4,"['Action', 'Thriller']"
602223,The Forever Purge,The Forever Purge,en,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,The rules are broken.,2021-06-30,/lB068qa6bQ0QKYKyC2xnYGvYjl7.jpg,1904,7.2,18000000,76994245,103,/ciKBP3tgzUxp7sHFNZxofBXUS8k.jpg,"['Action', 'Horror', 'Thriller']",256322.0,The Purge Collection,58994245,2021,6,30,"['Action', 'Thriller']"
565,The Ring,The Ring,en,Rachel Keller is a journalist investigating a videotape that may have killed four teenagers. There is an urban legend about this tape: the viewer will die seven days after watching it. Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring so she can save herself and her son.,"Before you die, you see…",2002-10-18,/e2t5CKMox7tjv3iD3Ko7NdFa5lJ.jpg,5208,6.6,48000000,249348933,115,/6TBaTZCq0FdjrXcj9mKdHGpcr2D.jpg,"['Horror', 'Mystery']",14563.0,The Ring Collection,201348933,2002,10,18,['Mystery']
10320,The Ring Two,The Ring Two,en,Rachel Keller must prevent evil Samara from taking possession of her son's soul.,The dead don't sleep.,2005-03-17,/8Mnthy6ymdKHVwVw5gJB7RtaO1F.jpg,1935,5.7,50000000,161451538,110,/wpiUcO2cS2ZYRYEHKC7DQEgiQyg.jpg,"['Drama', 'Horror', 'Thriller']",14563.0,The Ring Collection,111451538,2005,3,17,"['Drama', 'Thriller']"
14564,Rings,Rings,en,"Julia becomes worried about her boyfriend, Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",Evil is reborn.,2017-02-01,/yp4CDOVpVmNwiPoZKQeFCpW8CFo.jpg,2270,5.0,25000000,83080890,102,/aVAULt5cNpAWqa4IsllfUb4e25L.jpg,['Horror'],14563.0,The Ring Collection,58080890,2017,2,1,
36685,The Rocky Horror Picture Show,The Rocky Horror Picture Show,en,"Sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter, a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rockv'.",A different set of jaws.,1975-08-14,/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,2326,7.5,1200000,112892319,100,/5DU39tmUzbXtD6UXgm7iZqxpwoV.jpg,"['Comedy', 'Fantasy', 'Horror', 'Science Fiction']",694606.0,The Rocky Horror Picture Show Collection,111692319,1975,8,14,"['Comedy', 'Fantasy', 'Science Fiction']"
407620,Planet of the Sharks,Planet of the Sharks,en,"In the near future, glacial melting has covered 98% of earth's landmass. Sharks have flourished and now dominate the planet, operating as one massive school led by a mutated alpha shark.",WHEN THE WORLD FLOODS WITH WATER ONE SPECIES RISES TO THE TOP,2016-07-27,/54hwLfOJONjqOFxGlEixpOHeEnx.jpg,57,3.8,5,6,85,/d3fAR9lW5Jc4FBNhAGKvDWpiBlY.jpg,"['Action', 'Horror', 'Science Fiction']",632619.0,The Sharks Collection,1,2016,7,27,"['Action', 'Science Fiction']"
