,id,original_title,title,original_language,overview,tagline,release_date,poster_path,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,profit
4565,3122,La figlia di Frankenstein,Lady Frankenstein,it,"Dr. Frankensteins' daughter, who is in love with the aging lab assistant Marshall, continues with her fathers experiments and attempts to transplant Marshall's brain into a new body to prolong his life.",A Mad Surgeon's Mind in a Woman's Body,1971-10-22,/uJKbpxQ1XZeKBY4nLl8YdrUUIsd.jpg,39,5.0,200000,139683000,99,Released,False,/pDWy0iiyxPGOSg4D28LYGVbqm5A.jpg,"Horror, Science Fiction",,,139483000
4792,12128,Die Nacht der lebenden Loser,Night of the Living Dorks,de,"Three not-so-cool school friends decide to try a old voodoo ritual. Later, they die in a car accident, but live on as zombies. But being a zombie has advantages, too...",Being a loser was never this cool,2004-11-03,/g3QMMjjCQ69nxI4hWtK6okXU9pG.jpg,65,5.4,4410000,2107861,90,Released,False,/t73bezUPhAI2D9vf2otp6H905un.jpg,"Comedy, Horror",,,-2302139
4861,107227,23:59,23:59,zh,"An army recruit was found dead during a 24km road march. After the death of the recruit, strange things started to happen, haunting all the soldiers in the barracks.",,2011-11-03,/sQGBK2mvw3x07MmwRR2J6fDADZ5.jpg,39,4.7,600000,1208479,78,Released,False,/2AgB6Z7JVcP2EYo9cYAVDhrOD3y.jpg,Horror,,,608479
4891,46025,Malefique,Maléfique,fr,"In a penitentiary, four prisoners occupy a cell: Carrère, who used his company to commit a fraud and was betrayed by his wife; the drag Marcus and his protégée, the retarded Paquerette, who ate his six month old sister; and the intellectual, Lassalle who killed his wife. One night, Carrère finds an ancient journal hidden in a hole in the wall of the cell. They realize that the book was written by Danvers in the beginning of the last century and is about black magic. They decide to read and use its content to escape from the prison, when they find the truth about Danvers' fate.",Will you make it out alive?,2003-05-07,/2Ypfs4yETjYlfPzHCQSMv0nK1Lw.jpg,78,5.9,1500000,398016,90,Released,False,/mahVxOumX9FZdhbJ1YcX5qTLBQY.jpg,"Fantasy, Horror, Mystery",,,-1101984
4897,28485,Escalofrío,Satan's Blood,es,"Andy and Thelma, an urbanite couple living in Madrid, leave their apartment for a pleasant day around the city with their dog. They cross paths with Bruno and Anne, a strange couple who invite them to their foreboding country estate. A storm hits that evening and the two stay overnight. The couples engage in a bit of harmless communication with spirits via ouija board, but soon past conflicts arise Thelma had an affair with Andy's brother, and Anne criticizes Bruno over his attempted suicide. This is only the beginning of all the horrors that will haunt them in the house.",,1978-08-12,/hmCV5MRwJL8VwHJDmZnp8Velw3Y.jpg,28,6.2,175000,594947,82,Released,False,/jXNJOtNC8qvrENlGljHJUJxHkPd.jpg,"Horror, Thriller",,,419947
5002,15206,La terza madre,The Mother of Tears,it,"An ancient urn is found in a cemetery outside Rome. Once opened, it triggers a series of violent incidents: robberies, rapes and murders increase dramatically, while several mysterious, evil-looking young women coming from all over the world are gathering in the city. All these events are caused by the return of Mater Lacrimarum, the last of three powerful witches who have been spreading terror and death for centuries. Alone against an army of psychos and demons, Sarah Mandy, an art student who seems to have supernatural abilities of her own, is the only person left to prevent the Mother of Tears from destroying Rome.",What you see does not exist. What you cannot see is truth.,2007-09-06,/4hbIr5LpeI6UdaGviMaxStldln1.jpg,354,4.5,3500000,3119957,102,Released,False,/tEJf6vcobkTzIk2cRJYvLKeUuLY.jpg,Horror,868672.0,The Three Mothers Collection,-380043
5451,191562,गो गोआ गॉन,Go Goa Gone,hi,A rave party off the coast of Goa goes horrifyingly and hilariously wrong when the island is overrun with zombies.,I Kill Dead People.,2013-05-10,/5yArWoxijgN0gvo0ExQfKXgZ0Qr.jpg,82,5.7,2700000,5400000,111,Released,False,/tw2ujWwgZMKt1IqzayqCmnODJvi.jpg,"Comedy, Horror",829687.0,Go Goa Gone Collection,2700000
5460,358962,Пиковая дама: Черный обряд,Queen of Spades: The Dark Rite,ru,"There is an ancient ritual known to humankind for more than a hundred years...According to the legend, an ominous entity known as The Queen of Spades can be summoned by drawing a door and staircase on a mirror in the darkness, and by saying her name three times. The Queen of Spades gets her energy from reflective objects; she cuts locks of hair from those asleep, and those that see her go mad or die. Four teenagers decide to call The Queen of Spades as a joke. But when one of them dies of a sudden heart attack, the group realizes they are up against something inexplicable and deadly dangerous.",Evil Lives In The Reflection,2015-09-10,/jQ38xui1VOZYb8gzAPZwubg9Dg1.jpg,57,5.3,1000000,2228115,94,Released,False,/ghoeE63UBG8XKdMwOZkSY4wKAOa.jpg,Horror,589061.0,Queen of Spades Collection,1228115
5471,428642,എസ്ര,Ezra,ml,An urban couple Ranjan Mathew and Priya have just moved to Kochi when powers of the supernatural start to take over their lives. How they tide over the forces forms the story.​,Your worst fear comes true,2017-02-10,/4nOjXXYW67BEdSdJYMKdXySSLn7.jpg,29,5.9,1500000,7800000,147,Released,False,,"Horror, Thriller",,,6300000
5677,15980,राज़ : दि मिस्ट्री कन्टिन्युज,Raaz: The Mystery Continues...,hi,"A beautiful lady turns up in an architect's masterpiece.When he founds that she is real, he realizes that she is haunted and hunted by the reasons they have to find out",,2009-01-23,/bdVUWduDhrV7bGlHN1TR6NyEQ9r.jpg,30,5.8,6250000,8000000,137,Released,False,/e7eVM6mAEVZ7XZOGKrNTboTK38b.jpg,"Horror, Mystery",20725.0,Raaz Collection,1750000
5714,520393,టాక్సీవాలా,Taxiwala,te,"A job monger, Shiva who ends up as a taxiwala only to realise his ride is a beyond what anyone can expect.",,2018-06-01,/22nSwWSQ0sgo9gJxjWaGRlIJ0Mc.jpg,21,6.1,1000000,100000000,150,Released,False,/dpW6UbtM78gaYRxw7WJkiNY079T.jpg,"Comedy, Horror, Thriller",,,99000000
5869,36271,La lengua asesina,Killer Tongue,es,"Accidentally ingesting a meteorite part causes a serpentine, man eating tongue to grow out of a woman's mouth.",The movie with outrageous taste.,1996-11-15,/mYFmBlGOnpkn2ODcyBYP5Q7RI7m.jpg,29,5.3,4000000,219449,98,Released,False,,"Comedy, Horror, Science Fiction",,,-3780551
5913,245992,変態家族 新妻淫乱責め,Semen Demon,ja,"Sexual bombshell Reiko Yamaguchi, star of the smash-hit Japanese Wife Next Door films, is back and this time she needs an exorcist! Is her new husband possessed by a demon or is he just a pervert? And what's up with her father-in-law and his insatiable desire for Reiko? Something is definitely wrong with Reiko's family, and only an exorcist can help! Akira Fukamachi directs this raunchy take on exorcism.",,2005-07-29,/dAcHEXZiF5qrKE52dEHXnqolcQp.jpg,11,6.1,10000,1000000,56,Released,False,/ffXFS5JKRjzZzRPnARt072rPhiy.jpg,"Fantasy, Horror",,,990000
6124,127498,राज़ 3,Raaz 3,hi,"When an ingénue's sudden popularity threatens to shove her out of the spotlight, a movie star uses black magic in an attempt to derail her career.",When Desires Turn Evil,2012-09-07,/nOsWrm2IbH9mwIRBvhH7mFjmS5q.jpg,26,5.4,3600000,14000000,139,Released,False,/auQwNrtTT4fdz32dcqGUffpoFN5.jpg,"Horror, Thriller",20725.0,Raaz Collection,10400000
6145,461649,परी,Pari,hi,"Arnab tries to help Ruksahana, who is found under mysterious circumstances in a house. He lets her stay at his home until he discovers something strange about her.",Not A Fairy Tale,2018-03-02,/togwv0TGqXkIA2YuYIY9VDLEkdF.jpg,34,6.7,2600000,6000000,135,Released,False,/dIvfMOPSLWiTPWU4iN94Vtn6XNN.jpg,"Fantasy, Horror, Mystery",,,3400000
6553,65292,Le Pharmacien de garde,The Pharmacist,fr,An ecological pharmacist uses ancient Celtic techniques to murder industrial magnates whose practices harm the planet.,,2003-01-15,/rzhdKMGAQypbGvM51gChW9KsGeQ.jpg,10,5.7,7750000,1372469,84,Released,False,,"Crime, Drama, Horror",,,-6377531
6573,107937,भूत,Bhoot,hi,"A Mumbai businessman and his wife are looking for a new flat. Apartment 1201 has been vacant since its previous occupant jumped to her death. Undeterred, the couple still decides to move in, but before long, the wife starts to have visions.",,2003-05-30,/lHb8qSbtPAzm0yE3JhkN764veH0.jpg,20,6.0,2700000,9600000,113,Released,False,/aP2a0d7rrf1rPt5kw25LR0eVxj1.jpg,Horror,752944.0,Bhoot Collection,6900000
6936,139357,பீட்சா,Pizza,ta,The story is about how around a pizza delivery boy lands in a mysterious circumstance and how it works a dramatic change in his life. A very different thriller which will make you sweat.,,2012-10-19,/ojC9NacZhfSwUn9aAMXUtDLV52e.jpg,48,6.7,240000,2800000,127,Released,False,/y7fySMqq4A8RkXSkeqsFx0wlLuJ.jpg,"Comedy, Horror, Romance, Thriller",935280.0,Pizza,2560000
7447,31629,అరుంధతి,Arundhati,te,Arundhati  belongs to Gadwal samsthanam in 1920’s. She is known for her bravery in saving the Samstanam by killing Pasupathi an evildoer. But the spirit of Pasupathi haunts that place. Another girl is born in the same lineage after 3 generations and she is named as Arundhati. The spirit of Pasupati is after Arundhati to take the revenge.,,2009-01-16,/dUcomLIFBxDFOCwQ4zGOuy6acsP.jpg,21,6.7,2915739,14000000,132,Released,False,/hQxKoV9qwpktnC8nTAZ8XC2NNzH.jpg,"Fantasy, Horror, Thriller",,,11084261
7838,354667,RangiTaranga,RangiTaranga,kn,"Mysterious events begin to unfold after a reclusive novelist and his wife move back to her ancestral village, followed by a journalist.",,2015-07-03,/jvE6k9noK4BaU2F1GBhVe7vvjcI.jpg,17,7.5,490000,5000000,149,Released,False,/pFevFwZA8N10NcWLfy8qooEpL1z.jpg,"Horror, Mystery, Thriller",,,4510000
8400,133666,Dabbe 2,D@bbe 2,tr,"Internet network has spread into every home Dabbe, under the command of electromagnetic systems all over the world with demons and shadow assets were seized.",,2009-12-24,/xhmg4bpRLlSZ1oNODCtWPZkCi85.jpg,12,2.0,600,3,81,Released,False,/jN2QrsyGfurBrtGGCNTBQPNZ6wJ.jpg,"Horror, Mystery",529533.0,Dabbe [Seri],-597
8685,186747,एक थी डायन,Ek Thi Daayan,hi,A popular magician seeks help from a psychiatrist to protect him from a witch that has haunted him since childhood.,Everything Comes Full Circle,2013-04-18,/a4YHKrcrgqFtISCoYiFlxg2jQ6J.jpg,21,5.5,3500000,6500000,135,Released,False,/gEjpVXVEG2f2S5CoXG8u3tuQpRM.jpg,"Horror, Romance, Thriller",,,3000000
9242,531900,Block Z,Block Z,tl,"A pre-med student and her friends encounter the death of a patient that exhibited symptoms of rabies. They are soon faced with an even bigger problem as their patient comes back from the dead and infects the people on campus, causing a lockdown and trapping the students inside.",,2020-01-29,/n6jAasaOFvg0LNEpx7tLr5gVAEP.jpg,7,7.7,646955,709452,101,Released,False,/jHhyomGdc5Mk7fn93wO1ktHrMnC.jpg,"Action, Horror, Thriller",,,62497
9252,79067,Lost Place,Lost Place,de,"While on a GPS treasure hunt in the Palatinate forest four teenagers come across an old US military radio tower station. Back in the days of the Cold War it was part of a secret military program that produced horrific side effects, but has long since abandoned. Until now, when the station is mysteriously powered up again.",,2013-09-19,/1mODicswbT5J5q0AORvs5B09CwO.jpg,13,4.7,5200000,159828,101,Released,False,/9qwj1snQQAAPykrUSePJ7cm6FVc.jpg,"Horror, Mystery, Thriller",,,-5040172
9261,79359,Tuno Negro,Black Serenade,de,"Students of the university of Salamanca are brutally murdered by a black masked minstrel. Alex, an architecture student who has recently moved to Salamanca discovers a pattern behind the killings; it seems as if the killer strikes regularly after the exams to free the campus from lousy students.",,2001-07-19,/1KzEc8xepRdHikb3OnneFiRxfz3.jpg,20,5.3,3000000,3098924,110,Released,False,/hdY8F4WDODtJABVnY0Ivm0o26i4.jpg,"Drama, Horror, Thriller",,,98924
9553,496562,Sar Kati Laash,Sar Kati Laash,hi,A girl that works in a hotel falls in love with a rich man who checks in to the hotel. They are madly in love and quickly get married but are found dead on their honeymoon night. Now it is about who is or are the culprits?,,1999-10-08,/weFUFyDPZ8bezxsOWQZ08VDA7ea.jpg,0,0.0,39500,42660,105,Released,False,,Horror,,,3160
9702,15979,फूँक,Phoonk,hi,"A realtor fires one of his co-workers and out of spite, the co-worker and his wife does black magic on his daughter. Being an atheist, he shuns his mother and wife's theories on the supernatural and relies on a doctor for his daughter's treatment.",It's Supersitions Until It Happens To You,2008-08-22,/6v5Tcek4RzzlopN7bVF8jjnh9gs.jpg,11,2.8,750000,2760000,179,Released,False,,"Drama, Horror, Mystery",,,2010000
9725,56604,폐가,The Haunted House Project,ko,"Over the past 42 years, six people have gone missing, eight people have died ""accidently"" and eleven cases of murder have occurred in a deserted house. 3 members of an abandoned house exploring club and 3 staff members of a broadcasting company go into the deserted house. All of them disappear.",Stay out if you want to stay alive.,2010-08-19,/bJgWDNHPc1OKP5QzH3aeBL35Ghu.jpg,9,4.2,300000,83322,84,Released,False,/h7vjTuBlGoyNeSkitYMqmC6ErD2.jpg,"Horror, Mystery",,,-216678
9947,381214,Bunker of the Dead,Bunker of the Dead,de,"After Using the instructions found in an old Jewish diary,  Markus and Thomas hope to gain access to a WW II underground military base formerly codenamed: Cerusit. It was used by the Nazis as a secret research institute and is shrouded in rumors to this day about the lost gold of the Third Reich. The entrance to the cave system, however, lies right within the restricted area of a U.S. military base.. the first of many problems Markus and Thomas will have to face.",,2016-02-18,/a1LVK2OhhqTxPEJ31OunxAVA7zh.jpg,24,4.5,30000,10147,76,Released,False,/205EwwvpXYineZLI5mBGZFlXRup.jpg,"Action, Comedy, Horror",,,-19853
10491,140770,भूत रिटर्न्स,Bhoot Returns,hi,"A family moves into a possessed bungalow. A sudden turn of events in the house leaves them astonished. When things worsen, escape seems to be their last resort.",,2012-10-11,/eHLyKMkAEUbtngVqhphAUZmUr8d.jpg,4,3.0,750000,890000,73,Released,False,,Horror,752944.0,Bhoot Collection,140000
10504,96239,Zombadings 1: Patayin sa Shokot si Remington,Zombadings 1: Patayin sa Shokot si Remington,tl,"A boy cursed to turn gay when he grows up must sort out his feelings for the girl he loves and the boy – his best friend – he is suddenly lusting after, come to terms with his homophobia, and escape a pscho gay killer on the loose.",,2011-08-31,/tER1Ru1Grl5r8SIgcykoFztFoNZ.jpg,12,5.1,22361,721651,96,Released,False,/rFrWif1eKD7Ok1VNVBjk9tvDv5j.jpg,"Comedy, Horror",,,699290
10761,292830,Creature 3D,Creature 3D,hi,"People attend their first halt in a newly opened lodge in deep forest, but something is waiting for them.",,2014-09-12,/nbfirdO1slPZjzIcZoMev00bpUC.jpg,9,3.9,33000000,42000000,134,Released,False,,"Horror, Science Fiction",,,9000000
10830,50342,妄想,Diary,cn,"Winnie Leung becomes more disturbed and depressed after her boyfriend Seth Lau breaks up with her and she turns schizophrenic - imagining events which never occurred, and often living in her own world- until one day she meets a guy named Ray, bearing a close resemblance to Seth. Seeing this, her best friend Yvonne encourages her to go out with Hou so she can forget her misery and start over. As time passes, Winnie realises that the relationship with Ray is so alike her previous relationship with Seth, and when things seem to be running smoothly, the relationship begins to sours, just like with Seth. She begins to doubt his feelings and the lines between reality and fantasy start blurring again for her, leading her to question: did this all exist in the first place?",,2006-10-26,/ckdO48tEcCqeohkglioyYnDcgyy.jpg,21,6.1,2576871,749981,85,Released,False,/g5kmLrkxRSk2AGstgvaj4wk4V7e.jpg,"Horror, Thriller",,,-1826890
11054,139293,Tiktik: The Aswang Chronicles,Tiktik: The Aswang Chronicles,tl,"With dark shades on and a burning cigarette between his lips, Makoy will do whatever it takes to get back his girlfriend Sonia, who’s pregnant with their child. He makes the trip to remote Pulupandan, her hometown, and is quickly rebuffed by Sonia’s mother Fely. But Makoy has never been one to give up. With the help of Sonia’s father Nestor and his ever-dependable helper Bart, Makoy stays in town to surprise Sonia on her birthday. But alas, Makoy gets into trouble with a group of townsfolk who transform into tiktik—horrific, man-eating creatures with a taste for fetuses that are still in the womb! They are angry, and they are hungry for revenge. Will their thirst for blood and retribution be quenched? Will Makoy finally get his act together, protect Sonia and their baby, and once and for all prove himself worthy of their love? Who will win in the battle between men and monsters?","A Filipino Horror Movie with Heart, Guts, Liver, and All Human Flesh Eaten!!!",2012-10-16,/djY9jjVQVF1W84ddaIRWsz5Oefx.jpg,4,5.8,1791280,2035311,102,Released,False,/u6Vvv8TSCwxezc1hbcJjUSr9Esd.jpg,"Comedy, Fantasy, Horror",527964.0,The Aswang Chronicles Collection,244031
